sourcetitle-abbrev,citation_title,language,category,year
Bus. Strategy Environ.,encouraging green product purchase: green value environmental knowledge moderator attitude behavior relationship,eng,RenewableEnergy,2023
Bus. Strategy Environ.,encouraging green product purchase: green value environmental knowledge moderator attitude behavior relationship,eng,EnvironmentalScience,2023
Bus. Strategy Environ.,encouraging green product purchase: green value environmental knowledge moderator attitude behavior relationship,eng,EnvironmentalPolicyandGovernance,2023
Bus. Strategy Environ.,encouraging green product purchase: green value environmental knowledge moderator attitude behavior relationship,eng,EducationandSocialSciences,2023
Fish Shellfish Immunol.,"peroxiredoxin-4 supplementation modulates immune response, shape intestinal microbiome, enhances ahpnd resistance penaeus vannamei",eng,"Biotechnology,BioengineeringandLifeSciences",2023
Fish Shellfish Immunol.,"peroxiredoxin-4 supplementation modulates immune response, shape intestinal microbiome, enhances ahpnd resistance penaeus vannamei",eng,AgricultureandFoodScience,2023
Fish Shellfish Immunol.,"peroxiredoxin-4 supplementation modulates immune response, shape intestinal microbiome, enhances ahpnd resistance penaeus vannamei",eng,HealthandWellness,2023
Microporous Mesoporous Mater.,silicalite-1 zeolite toluene sorption: effect particle size intracrystalline mesopores,eng,MaterialsScience,2023
Microporous Mesoporous Mater.,silicalite-1 zeolite toluene sorption: effect particle size intracrystalline mesopores,eng,ChemicalEngineering,2023
Microporous Mesoporous Mater.,silicalite-1 zeolite toluene sorption: effect particle size intracrystalline mesopores,eng,Nanotechnology,2023
Digital Eye Care and Teleophthalmology: A Practical Guide to Applications,transfer learning artificial intelligence ophthalmology,eng,MedicalResearch,2023
Digital Eye Care and Teleophthalmology: A Practical Guide to Applications,transfer learning artificial intelligence ophthalmology,eng,ComputationalTechnologies,2023
Digital Eye Care and Teleophthalmology: A Practical Guide to Applications,transfer learning artificial intelligence ophthalmology,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Front. Pediatr.,"epidemiology, risk factor outcome prolonged mechanical ventilation different cut-points picu",eng,MedicalResearch,2023
Front. Pediatr.,"epidemiology, risk factor outcome prolonged mechanical ventilation different cut-points picu",eng,HealthandWellness,2023
Int. J. Stroke,usability feasibility prevents-md web app stroke prevention,eng,MedicalResearch,2023
Int. J. Stroke,usability feasibility prevents-md web app stroke prevention,eng,HealthandWellness,2023
Int. J. Stroke,usability feasibility prevents-md web app stroke prevention,eng,EducationandSocialSciences,2023
J. Build. Eng.,investigating synergistic effect graphene nanoplatelets fly ash mechanical property microstructure calcium aluminate cement composite,eng,Nanotechnology,2023
J. Build. Eng.,investigating synergistic effect graphene nanoplatelets fly ash mechanical property microstructure calcium aluminate cement composite,eng,MaterialsScience,2023
J. Build. Eng.,investigating synergistic effect graphene nanoplatelets fly ash mechanical property microstructure calcium aluminate cement composite,eng,ChemicalEngineering,2023
J. Build. Eng.,investigating synergistic effect graphene nanoplatelets fly ash mechanical property microstructure calcium aluminate cement composite,eng,RenewableEnergy,2023
J. Build. Eng.,investigating synergistic effect graphene nanoplatelets fly ash mechanical property microstructure calcium aluminate cement composite,eng,EnvironmentalScience,2023
Sustainability,gps data analytics assessment public city bus transportation service quality bangkok,eng,EducationandSocialSciences,2023
Sustainability,gps data analytics assessment public city bus transportation service quality bangkok,eng,EnvironmentalPolicyandGovernance,2023
Sustainability,gps data analytics assessment public city bus transportation service quality bangkok,eng,ComputationalTechnologies,2023
Allergy Eur. J. Allergy Clin. Immunol.,"allopurinol metabolite, oxypurinol, drive oligoclonal expansion drug-reactive cell resolved hypersensitivity case drug-naïve healthy donor",eng,MedicalResearch,2023
Allergy Eur. J. Allergy Clin. Immunol.,"allopurinol metabolite, oxypurinol, drive oligoclonal expansion drug-reactive cell resolved hypersensitivity case drug-naïve healthy donor",eng,"Biotechnology,BioengineeringandLifeSciences",2023
Allergy Eur. J. Allergy Clin. Immunol.,"allopurinol metabolite, oxypurinol, drive oligoclonal expansion drug-reactive cell resolved hypersensitivity case drug-naïve healthy donor",eng,HealthandWellness,2023
Agric. Nat. Resour.,"process simulation economic feasibility biodiesel production acid oil, by-product glycerol acidulation",eng,RenewableEnergy,2023
Agric. Nat. Resour.,"process simulation economic feasibility biodiesel production acid oil, by-product glycerol acidulation",eng,ChemicalEngineering,2023
Agric. Nat. Resour.,"process simulation economic feasibility biodiesel production acid oil, by-product glycerol acidulation",eng,"Biotechnology,BioengineeringandLifeSciences",2023
J. Thorac. Oncol.,"three-year safety, tolerability, health-related quality life outcome adjuvant osimertinib patient resected stage ib iiia egfr-mutated nsclc: updated analysis phase 3 adaura trial",eng,MedicalResearch,2023
J. Thorac. Oncol.,"three-year safety, tolerability, health-related quality life outcome adjuvant osimertinib patient resected stage ib iiia egfr-mutated nsclc: updated analysis phase 3 adaura trial",eng,HealthandWellness,2023
J. Thorac. Oncol.,"three-year safety, tolerability, health-related quality life outcome adjuvant osimertinib patient resected stage ib iiia egfr-mutated nsclc: updated analysis phase 3 adaura trial",eng,"Biotechnology,BioengineeringandLifeSciences",2023
Int. J. Pharm. X,antibiotic-loaded hydroxyapatite scaffold fabricated nile tilapia bone orthopaedics,eng,MedicalResearch,2023
Int. J. Pharm. X,antibiotic-loaded hydroxyapatite scaffold fabricated nile tilapia bone orthopaedics,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Int. J. Pharm. X,antibiotic-loaded hydroxyapatite scaffold fabricated nile tilapia bone orthopaedics,eng,MaterialsScience,2023
J. Plankton Res.,temperature factor controlling geographical distribution green noctiluca scintillans southeast asia,eng,EcologyandConservation,2023
J. Plankton Res.,temperature factor controlling geographical distribution green noctiluca scintillans southeast asia,eng,EnvironmentalScience,2023
J. Plankton Res.,temperature factor controlling geographical distribution green noctiluca scintillans southeast asia,eng,RenewableEnergy,2023
J. Health Res.,"predictor intention stay perceived nurse working community hospitals, ministry public health, thailand",eng,EducationandSocialSciences,2023
J. Health Res.,"predictor intention stay perceived nurse working community hospitals, ministry public health, thailand",eng,HealthandWellness,2023
J. Health Res.,"predictor intention stay perceived nurse working community hospitals, ministry public health, thailand",eng,MedicalResearch,2023
Chem. Eng. J.,enhanced co2 desorption rate rich amine solution regeneration hierarchical hzsm-5 catalyst,eng,ChemicalEngineering,2023
Chem. Eng. J.,enhanced co2 desorption rate rich amine solution regeneration hierarchical hzsm-5 catalyst,eng,RenewableEnergy,2023
Chem. Eng. J.,enhanced co2 desorption rate rich amine solution regeneration hierarchical hzsm-5 catalyst,eng,EnvironmentalScience,2023
Clin. Cosmet. Invest. Dermatol.,efficacy safety detachable microneedle patch containing triamcinolone acetonide treatment inflammatory acne,eng,MedicalResearch,2023
Clin. Cosmet. Invest. Dermatol.,efficacy safety detachable microneedle patch containing triamcinolone acetonide treatment inflammatory acne,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Clin. Cosmet. Invest. Dermatol.,efficacy safety detachable microneedle patch containing triamcinolone acetonide treatment inflammatory acne,eng,HealthandWellness,2023
Diabetes Obes. Metab.,comparative efficacy digitally assisted intervention glycated haemoglobin level among patient type 2 diabetes: systematic review component network meta-analysis,eng,MedicalResearch,2023
Diabetes Obes. Metab.,comparative efficacy digitally assisted intervention glycated haemoglobin level among patient type 2 diabetes: systematic review component network meta-analysis,eng,HealthandWellness,2023
Diabetes Obes. Metab.,comparative efficacy digitally assisted intervention glycated haemoglobin level among patient type 2 diabetes: systematic review component network meta-analysis,eng,EducationandSocialSciences,2023
Arthroscopy Tech.,arthroscopic anterior cruciate ligament primary repair synthetic augmentation fixation knotless suture anchor,eng,MedicalResearch,2023
Arthroscopy Tech.,arthroscopic anterior cruciate ligament primary repair synthetic augmentation fixation knotless suture anchor,eng,"Biotechnology,BioengineeringandLifeSciences",2023
J. Clean. Prod.,closing loop widening gap? unequal politics thailand's circular economy addressing marine plastic pollution,eng,",,",2023
Adv. Pharm. Bull.,stem cell’s secretome delivery system,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Adv. Pharm. Bull.,stem cell’s secretome delivery system,eng,MedicalResearch,2023
Adv. Pharm. Bull.,stem cell’s secretome delivery system,eng,HealthandWellness,2023
Adv. Pharm. Bull.,stem cell’s secretome delivery system,eng,MaterialsScience,2023
Adv. Pharm. Bull.,stem cell’s secretome delivery system,eng,Nanotechnology,2023
Catal Today,improved olefin selectivity co hydrogenation hydrophilic fe/hap catalyst,eng,ChemicalEngineering,2023
Catal Today,improved olefin selectivity co hydrogenation hydrophilic fe/hap catalyst,eng,ComputationalTechnologies,2023
Catal Today,improved olefin selectivity co hydrogenation hydrophilic fe/hap catalyst,eng,MaterialsScience,2023
Clin. Gastroenterol. Hepatol.,reply,eng,EducationandSocialSciences,2023
J. Med. Assoc. Thailand,imaging finding contrast enema hirschsprung disease,eng,MedicalResearch,2023
Environ. Sci. Techno. Lett.,microbiological process submicrometer plastic affecting submerged plant growth chronic exposure microcosm,eng,EnvironmentalScience,2023
Environ. Sci. Techno. Lett.,microbiological process submicrometer plastic affecting submerged plant growth chronic exposure microcosm,eng,ComputationalTechnologies,2023
Environ. Sci. Techno. Lett.,microbiological process submicrometer plastic affecting submerged plant growth chronic exposure microcosm,eng,EcologyandConservation,2023
J. Med. Assoc. Thailand,safety satisfaction innovative eye shield detecting head position post-operative intraocular surgery,eng,MedicalResearch,2023
J. Med. Assoc. Thailand,safety satisfaction innovative eye shield detecting head position post-operative intraocular surgery,eng,HealthandWellness,2023
J. Med. Assoc. Thailand,safety satisfaction innovative eye shield detecting head position post-operative intraocular surgery,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Future Virol.,25th bangkok international symposium hiv medicine,eng,MedicalResearch,2023
Future Virol.,25th bangkok international symposium hiv medicine,eng,HealthandWellness,2023
Clin. Transplant.,decline kidney function heart transplantation impact survival,eng,MedicalResearch,2023
Clin. Transplant.,decline kidney function heart transplantation impact survival,eng,HealthandWellness,2023
J Archit Eng,predicting cost schedule performance green building project based preproject planning effort using multiple linear regression analysis,eng,RenewableEnergy,2023
J Archit Eng,predicting cost schedule performance green building project based preproject planning effort using multiple linear regression analysis,eng,EnvironmentalScience,2023
J Archit Eng,predicting cost schedule performance green building project based preproject planning effort using multiple linear regression analysis,eng,EnvironmentalPolicyandGovernance,2023
J Archit Eng,predicting cost schedule performance green building project based preproject planning effort using multiple linear regression analysis,eng,EducationandSocialSciences,2023
ScienceAsia,improvement growth phosphorus utilization efficiency thai rice (oryza sativa l. ssp indica cv. chaew khing) inoculation arbuscular mycorrhizal fungi high phosphorus supply,eng,AgricultureandFoodScience,2023
ScienceAsia,improvement growth phosphorus utilization efficiency thai rice (oryza sativa l. ssp indica cv. chaew khing) inoculation arbuscular mycorrhizal fungi high phosphorus supply,eng,"Biotechnology,BioengineeringandLifeSciences",2023
ScienceAsia,improvement growth phosphorus utilization efficiency thai rice (oryza sativa l. ssp indica cv. chaew khing) inoculation arbuscular mycorrhizal fungi high phosphorus supply,eng,RenewableEnergy,2023
Ophthalmology,use immunosuppression risk subsequent overall cancer mortality,eng,MedicalResearch,2023
Ophthalmology,use immunosuppression risk subsequent overall cancer mortality,eng,HealthandWellness,2023
Ophthalmology,use immunosuppression risk subsequent overall cancer mortality,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Front. Mol. Neurosci.,"tryptophan catabolites, inflammation, insulin resistance determinant chronic fatigue syndrome affective symptom long covid",eng,MedicalResearch,2023
Front. Mol. Neurosci.,"tryptophan catabolites, inflammation, insulin resistance determinant chronic fatigue syndrome affective symptom long covid",eng,HealthandWellness,2023
Educ.Philos. Theor.,international education within asean rise asian century,eng,EducationandSocialSciences,2023
Educ.Philos. Theor.,international education within asean rise asian century,eng,EnvironmentalPolicyandGovernance,2023
Hum. Arts Social Sci. Stud.,role autonomy-supportive communication fulfillment psychological need happiness among thai elderly,eng,EducationandSocialSciences,2023
Hum. Arts Social Sci. Stud.,role autonomy-supportive communication fulfillment psychological need happiness among thai elderly,eng,HealthandWellness,2023
Energy Rep.,process simulation cassava cellulosic ethanol production low medium-pressure steam heat integration,eng,RenewableEnergy,2023
Energy Rep.,process simulation cassava cellulosic ethanol production low medium-pressure steam heat integration,eng,EnvironmentalScience,2023
Energy Rep.,process simulation cassava cellulosic ethanol production low medium-pressure steam heat integration,eng,ChemicalEngineering,2023
Energy Rep.,process simulation cassava cellulosic ethanol production low medium-pressure steam heat integration,eng,AgricultureandFoodScience,2023
J. Bioinformatics Comput. Biol.,antimicrobial peptide recognition using weighted physicochemical property encoding,eng,"Biotechnology,BioengineeringandLifeSciences",2023
J. Bioinformatics Comput. Biol.,antimicrobial peptide recognition using weighted physicochemical property encoding,eng,MedicalResearch,2023
J. Bioinformatics Comput. Biol.,antimicrobial peptide recognition using weighted physicochemical property encoding,eng,ComputationalTechnologies,2023
Adv. Mater. Interfaces,screening homo- hetero-dual atom anchored graphdiyne boosting electrochemical co2 reduction,eng,RenewableEnergy,2023
Adv. Mater. Interfaces,screening homo- hetero-dual atom anchored graphdiyne boosting electrochemical co2 reduction,eng,EnvironmentalScience,2023
