sourcetitle-abbrev,citation_title,language,category,year
Dent. Mater. J.,"fluoride release, abrasion resistance, cytotoxicity hgfs novel cyanoacrylate-based fluoride varnish compared conventional fluoride varnish",eng,MedicalResearch,2022
Dent. Mater. J.,"fluoride release, abrasion resistance, cytotoxicity hgfs novel cyanoacrylate-based fluoride varnish compared conventional fluoride varnish",eng,HealthandWellness,2022
Dent. Mater. J.,"fluoride release, abrasion resistance, cytotoxicity hgfs novel cyanoacrylate-based fluoride varnish compared conventional fluoride varnish",eng,"Biotechnology,BioengineeringandLifeSciences",2022
Clim. Chang. Impact on Groundw. Resour.: Hum. Health Risk Assess. in Arid and Semi-Arid Reg.,"seasonal variation groundwater quality irrigation purpose semi-arid region tamil nadu, india",eng,EnvironmentalScience,2022
Clim. Chang. Impact on Groundw. Resour.: Hum. Health Risk Assess. in Arid and Semi-Arid Reg.,"seasonal variation groundwater quality irrigation purpose semi-arid region tamil nadu, india",eng,AgricultureandFoodScience,2022
Clim. Chang. Impact on Groundw. Resour.: Hum. Health Risk Assess. in Arid and Semi-Arid Reg.,"seasonal variation groundwater quality irrigation purpose semi-arid region tamil nadu, india",eng,EnvironmentalPolicyandGovernance,2022
Clim. Chang. Impact on Groundw. Resour.: Hum. Health Risk Assess. in Arid and Semi-Arid Reg.,"seasonal variation groundwater quality irrigation purpose semi-arid region tamil nadu, india",eng,EcologyandConservation,2022
Maejo Int. J. Sci. Technol.,cholesterol-lowering effect lactic acid bacteria isolated musa sapientum linn.,eng,"Biotechnology,BioengineeringandLifeSciences",2022
Maejo Int. J. Sci. Technol.,cholesterol-lowering effect lactic acid bacteria isolated musa sapientum linn.,eng,HealthandWellness,2022
Maejo Int. J. Sci. Technol.,cholesterol-lowering effect lactic acid bacteria isolated musa sapientum linn.,eng,FoodScience,2022
J. Health Sci. Med. Res.,depression anxiety plus level stress among secondary school student covid-19 lockdown: online cross-sectional survey,eng,EducationandSocialSciences,2022
J. Health Sci. Med. Res.,depression anxiety plus level stress among secondary school student covid-19 lockdown: online cross-sectional survey,eng,HealthandWellness,2022
J. Phys. Conf. Ser.,designing mpc controller heat exchanger equipped thermoelectric generator,eng,EnvironmentalScience,2022
J. Phys. Conf. Ser.,designing mpc controller heat exchanger equipped thermoelectric generator,eng,ChemicalEngineering,2022
J. Phys. Conf. Ser.,designing mpc controller heat exchanger equipped thermoelectric generator,eng,EducationandSocialSciences,2022
J. Phys. Conf. Ser.,designing mpc controller heat exchanger equipped thermoelectric generator,eng,MaterialsScience,2022
J. Phys. Conf. Ser.,designing mpc controller heat exchanger equipped thermoelectric generator,eng,HealthandWellness,2022
J. Phys. Conf. Ser.,designing mpc controller heat exchanger equipped thermoelectric generator,eng,RenewableEnergy,2022
Environ. Sci. Pollut. Res.,life-history trait ten commercially important small indigenous fish specie (sifs) oxbow lake (southwestern bangladesh): key sound management,eng,EcologyandConservation,2022
Environ. Sci. Pollut. Res.,life-history trait ten commercially important small indigenous fish specie (sifs) oxbow lake (southwestern bangladesh): key sound management,eng,AgricultureandFoodScience,2022
Environ. Sci. Pollut. Res.,life-history trait ten commercially important small indigenous fish specie (sifs) oxbow lake (southwestern bangladesh): key sound management,eng,EnvironmentalScience,2022
